"id","code","slug","city_id:id","name"
"res_country_district_1","VN-70-lap-thach","lap-thach","res_country_city_81","Huyện Lập Thạch"
"res_country_district_2","VN-70-tam-duong","tam-duong","res_country_city_81","Huyện Tam Dương"
"res_country_district_3","VN-70-tam-dao","tam-dao","res_country_city_81","Huyện Tam Đảo"
"res_country_district_4","VN-70-binh-xuyen","binh-xuyen","res_country_city_81","Huyện Bình Xuyên"
"res_country_district_5","VN-70-yen-lac","yen-lac","res_country_city_81","Huyện Yên Lạc"
"res_country_district_6","VN-70-vinh-tuong","vinh-tuong","res_country_city_81","Huyện Vĩnh Tường"
"res_country_district_7","VN-70-song-lo","song-lo","res_country_city_81","Huyện Sông Lô"
"res_country_district_8","VN-18-nho-quan","nho-quan","res_country_city_82","Huyện Nho Quan"
"res_country_district_9","VN-18-gia-vien","gia-vien","res_country_city_82","Huyện Gia Viễn"
"res_country_district_10","VN-18-hoa-lu","hoa-lu","res_country_city_82","Huyện Hoa Lư"
"res_country_district_11","VN-18-yen-khanh","yen-khanh","res_country_city_82","Huyện Yên Khánh"
"res_country_district_12","VN-18-kim-son","kim-son","res_country_city_82","Huyện Kim Sơn"
"res_country_district_13","VN-18-yen-mo","yen-mo","res_country_city_82","Huyện Yên Mô"
"res_country_district_14","VN-59-u-minh","u-minh","res_country_city_83","Huyện U Minh"
"res_country_district_15","VN-59-thoi-binh","thoi-binh","res_country_city_83","Huyện Thới Bình"
"res_country_district_16","VN-59-tran-van-thoi","tran-van-thoi","res_country_city_83","Huyện Trần Văn Thời"
"res_country_district_17","VN-59-cai-nuoc","cai-nuoc","res_country_city_83","Huyện Cái Nước"
"res_country_district_18","VN-59-dam-doi","dam-doi","res_country_city_83","Huyện Đầm Dơi"
"res_country_district_19","VN-59-nam-can","nam-can","res_country_city_83","Huyện Năm Căn"
"res_country_district_20","VN-59-phu-tan","phu-tan","res_country_city_83","Huyện Phú Tân"
"res_country_district_21","VN-59-ngoc-hien","ngoc-hien","res_country_city_83","Huyện Ngọc Hiển"
"res_country_district_22","VN-22-que-phong","que-phong","res_country_city_84","Huyện Quế Phong"
"res_country_district_23","VN-22-quy-chau","quy-chau","res_country_city_84","Huyện Quỳ Châu"
"res_country_district_24","VN-22-ky-son","ky-son","res_country_city_84","Huyện Kỳ Sơn"
"res_country_district_25","VN-22-tuong-duong","tuong-duong","res_country_city_84","Huyện Tương Dương"
"res_country_district_26","VN-22-nghia-dan","nghia-dan","res_country_city_84","Huyện Nghĩa Đàn"
"res_country_district_27","VN-22-quy-hop","quy-hop","res_country_city_84","Huyện Quỳ Hợp"
"res_country_district_28","VN-22-quynh-luu","quynh-luu","res_country_city_84","Huyện Quỳnh Lưu"
"res_country_district_29","VN-22-con-cuong","con-cuong","res_country_city_84","Huyện Con Cuông"
"res_country_district_30","VN-22-tan-ky","tan-ky","res_country_city_84","Huyện Tân Kỳ"
"res_country_district_31","VN-22-anh-son","anh-son","res_country_city_84","Huyện Anh Sơn"
"res_country_district_32","VN-22-dien-chau","dien-chau","res_country_city_84","Huyện Diễn Châu"
"res_country_district_33","VN-22-yen-thanh","yen-thanh","res_country_city_84","Huyện Yên Thành"
"res_country_district_34","VN-22-do-luong","do-luong","res_country_city_84","Huyện Đô Lương"
"res_country_district_35","VN-22-thanh-chuong","thanh-chuong","res_country_city_84","Huyện Thanh Chương"
"res_country_district_36","VN-22-nghi-loc","nghi-loc","res_country_city_84","Huyện Nghi Lộc"
"res_country_district_37","VN-22-nam-dan","nam-dan","res_country_city_84","Huyện Nam Đàn"
"res_country_district_38","VN-22-hung-nguyen","hung-nguyen","res_country_city_84","Huyện Hưng Nguyên"
"res_country_district_39","VN-49-long-ho","long-ho","res_country_city_85","Huyện Long Hồ"
"res_country_district_40","VN-49-mang-thit","mang-thit","res_country_city_85","Huyện Mang Thít"
"res_country_district_41","VN-49-vung-liem","vung-liem","res_country_city_85","Huyện  Vũng Liêm"
"res_country_district_42","VN-49-tam-binh","tam-binh","res_country_city_85","Huyện Tam Bình"
"res_country_district_43","VN-49-tra-on","tra-on","res_country_city_85","Huyện Trà Ôn"
"res_country_district_44","VN-49-binh-tan","binh-tan","res_country_city_85","Huyện Bình Tân"
"res_country_district_45","VN-24-minh-hoa","minh-hoa","res_country_city_86","Huyện Minh Hóa"
"res_country_district_46","VN-24-tuyen-hoa","tuyen-hoa","res_country_city_86","Huyện Tuyên Hóa"
"res_country_district_47","VN-24-quang-trach","quang-trach","res_country_city_86","Huyện Quảng Trạch"
"res_country_district_48","VN-24-bo-trach","bo-trach","res_country_city_86","Huyện Bố Trạch"
"res_country_district_49","VN-24-quang-ninh","quang-ninh","res_country_city_86","Huyện Quảng Ninh"
"res_country_district_50","VN-24-le-thuy","le-thuy","res_country_city_86","Huyện Lệ Thủy"
"res_country_district_51","VN-HP-hong-bang","hong-bang","res_country_city_87","Quận Hồng Bàng"
"res_country_district_52","VN-HP-ngo-quyen","ngo-quyen","res_country_city_87","Quận Ngô Quyền"
"res_country_district_53","VN-HP-le-chan","le-chan","res_country_city_87","Quận Lê Chân"
"res_country_district_54","VN-HP-hai-an","hai-an","res_country_city_87","Quận Hải An"
"res_country_district_55","VN-HP-kien-an","kien-an","res_country_city_87","Quận Kiến An"
"res_country_district_56","VN-HP-do-son","do-son","res_country_city_87","Quận Đồ Sơn"
"res_country_district_57","VN-HP-duong-kinh","duong-kinh","res_country_city_87","Quận Dương Kinh"
"res_country_district_58","VN-HP-thuy-nguyen","thuy-nguyen","res_country_city_87","Huyện Thuỷ Nguyên"
"res_country_district_59","VN-HP-an-duong","an-duong","res_country_city_87","Huyện An Dương"
"res_country_district_60","VN-HP-an-lao","an-lao","res_country_city_87","Huyện An Lão"
"res_country_district_61","VN-HP-kien-thuy","kien-thuy","res_country_city_87","Huyện Kiến Thuỵ"
"res_country_district_62","VN-HP-tien-lang","tien-lang","res_country_city_87","Huyện Tiên Lãng"
"res_country_district_63","VN-HP-vinh-bao","vinh-bao","res_country_city_87","Huyện Vĩnh Bảo"
"res_country_district_64","VN-HP-cat-hai","cat-hai","res_country_city_87","Huyện Cát Hải"
"res_country_district_65","VN-HP-bach-long-vi","bach-long-vi","res_country_city_87","Huyện Bạch Long Vĩ"
"res_country_district_66","VN-HN-ba-dinh","ba-dinh","res_country_city_88","Quận Ba Đình"
"res_country_district_67","VN-HN-hoan-kiem","hoan-kiem","res_country_city_88","Quận Hoàn Kiếm"
"res_country_district_68","VN-HN-tay-ho","tay-ho","res_country_city_88","Quận Tây Hồ"
"res_country_district_69","VN-HN-long-bien","long-bien","res_country_city_88","Quận Long Biên"
"res_country_district_70","VN-HN-cau-giay","cau-giay","res_country_city_88","Quận Cầu Giấy"
"res_country_district_71","VN-HN-dong-da","dong-da","res_country_city_88","Quận Đống Đa"
"res_country_district_72","VN-HN-hai-ba-trung","hai-ba-trung","res_country_city_88","Quận Hai Bà Trưng"
"res_country_district_73","VN-HN-hoang-mai","hoang-mai","res_country_city_88","Quận Hoàng Mai"
"res_country_district_74","VN-HN-thanh-xuan","thanh-xuan","res_country_city_88","Quận Thanh Xuân"
"res_country_district_75","VN-HN-soc-son","soc-son","res_country_city_88","Huyện Sóc Sơn"
"res_country_district_76","VN-HN-dong-anh","dong-anh","res_country_city_88","Huyện Đông Anh"
"res_country_district_77","VN-HN-gia-lam","gia-lam","res_country_city_88","Huyện Gia Lâm"
"res_country_district_78","VN-HN-nam-tu-liem","nam-tu-liem","res_country_city_88","Quận Nam Từ Liêm"
"res_country_district_79","VN-HN-thanh-tri","thanh-tri","res_country_city_88","Huyện Thanh Trì"
"res_country_district_80","VN-HN-bac-tu-liem","bac-tu-liem","res_country_city_88","Quận Bắc Từ Liêm"
"res_country_district_81","VN-HN-me-linh","me-linh","res_country_city_88","Huyện Mê Linh"
"res_country_district_82","VN-HN-ha-dong","ha-dong","res_country_city_88","Quận Hà Đông"
"res_country_district_83","VN-HN-ba-vi","ba-vi","res_country_city_88","Huyện Ba Vì"
"res_country_district_84","VN-HN-phuc-tho","phuc-tho","res_country_city_88","Huyện Phúc Thọ"
"res_country_district_85","VN-HN-dan-phuong","dan-phuong","res_country_city_88","Huyện Đan Phượng"
"res_country_district_86","VN-HN-hoai-duc","hoai-duc","res_country_city_88","Huyện Hoài Đức"
"res_country_district_87","VN-HN-quoc-oai","quoc-oai","res_country_city_88","Huyện Quốc Oai"
"res_country_district_88","VN-HN-thach-that","thach-that","res_country_city_88","Huyện Thạch Thất"
"res_country_district_89","VN-HN-chuong-my","chuong-my","res_country_city_88","Huyện Chương Mỹ"
"res_country_district_90","VN-HN-thanh-oai","thanh-oai","res_country_city_88","Huyện Thanh Oai"
"res_country_district_91","VN-HN-thuong-tin","thuong-tin","res_country_city_88","Huyện Thường Tín"
"res_country_district_92","VN-HN-phu-xuyen","phu-xuyen","res_country_city_88","Huyện Phú Xuyên"
"res_country_district_93","VN-HN-ung-hoa","ung-hoa","res_country_city_88","Huyện Ứng Hòa"
"res_country_district_94","VN-HN-my-duc","my-duc","res_country_city_88","Huyện Mỹ Đức"
"res_country_district_95","VN-45-tan-hong","tan-hong","res_country_city_89","Huyện Tân Hồng"
"res_country_district_96","VN-45-hong-ngu","hong-ngu","res_country_city_89","Huyện Hồng Ngự"
"res_country_district_97","VN-45-tam-nong","tam-nong","res_country_city_89","Huyện Tam Nông"
"res_country_district_98","VN-45-thap-muoi","thap-muoi","res_country_city_89","Huyện Tháp Mười"
"res_country_district_99","VN-45-cao-lanh","cao-lanh","res_country_city_89","Huyện Cao Lãnh"
"res_country_district_100","VN-45-thanh-binh","thanh-binh","res_country_city_89","Huyện Thanh Bình"
"res_country_district_101","VN-45-lap-vo","lap-vo","res_country_city_89","Huyện Lấp Vò"
"res_country_district_102","VN-45-lai-vung","lai-vung","res_country_city_89","Huyện Lai Vung"
"res_country_district_103","VN-45-chau-thanh","chau-thanh","res_country_city_89","Huyện Châu Thành"
"res_country_district_104","VN-01-tam-duong","tam-duong","res_country_city_90","Huyện Tam Đường"
"res_country_district_105","VN-01-muong-te","muong-te","res_country_city_90","Huyện Mường Tè"
"res_country_district_106","VN-01-sin-ho","sin-ho","res_country_city_90","Huyện Sìn Hồ"
"res_country_district_107","VN-01-phong-tho","phong-tho","res_country_city_90","Huyện Phong Thổ"
"res_country_district_108","VN-01-than-uyen","than-uyen","res_country_city_90","Huyện Than Uyên"
"res_country_district_109","VN-01-tan-uyen","tan-uyen","res_country_city_90","Huyện Tân Uyên"
"res_country_district_110","VN-01-nam-nhun","nam-nhun","res_country_city_90","Huyện Nậm Nhùn"
"res_country_district_111","VN-66-van-lam","van-lam","res_country_city_91","Huyện Văn Lâm"
"res_country_district_112","VN-66-van-giang","van-giang","res_country_city_91","Huyện Văn Giang"
"res_country_district_113","VN-66-yen-my","yen-my","res_country_city_91","Huyện Yên Mỹ"
"res_country_district_114","VN-66-an-thi","an-thi","res_country_city_91","Huyện Ân Thi"
"res_country_district_115","VN-66-khoai-chau","khoai-chau","res_country_city_91","Huyện Khoái Châu"
"res_country_district_116","VN-66-kim-dong","kim-dong","res_country_city_91","Huyện Kim Động"
"res_country_district_117","VN-66-tien-lu","tien-lu","res_country_city_91","Huyện Tiên Lữ"
"res_country_district_118","VN-66-phu-cu","phu-cu","res_country_city_91","Huyện Phù Cừ"
"res_country_district_119","VN-09-trang-dinh","trang-dinh","res_country_city_92","Huyện Tràng Định"
"res_country_district_120","VN-09-binh-gia","binh-gia","res_country_city_92","Huyện Bình Gia"
"res_country_district_121","VN-09-van-lang","van-lang","res_country_city_92","Huyện Văn Lãng"
"res_country_district_122","VN-09-cao-loc","cao-loc","res_country_city_92","Huyện Cao Lộc"
"res_country_district_123","VN-09-van-quan","van-quan","res_country_city_92","Huyện Văn Quan"
"res_country_district_124","VN-09-bac-son","bac-son","res_country_city_92","Huyện Bắc Sơn"
"res_country_district_125","VN-09-huu-lung","huu-lung","res_country_city_92","Huyện Hữu Lũng"
"res_country_district_126","VN-09-chi-lang","chi-lang","res_country_city_92","Huyện Chi Lăng"
"res_country_district_127","VN-09-loc-binh","loc-binh","res_country_city_92","Huyện Lộc Bình"
"res_country_district_128","VN-09-dinh-lap","dinh-lap","res_country_city_92","Huyện Đình Lập"
"res_country_district_129","VN-39-tan-phu","tan-phu","res_country_city_93","Huyện Tân Phú"
"res_country_district_130","VN-39-vinh-cuu","vinh-cuu","res_country_city_93","Huyện Vĩnh Cửu"
"res_country_district_131","VN-39-dinh-quan","dinh-quan","res_country_city_93","Huyện Định Quán"
"res_country_district_132","VN-39-trang-bom","trang-bom","res_country_city_93","Huyện Trảng Bom"
"res_country_district_133","VN-39-thong-nhat","thong-nhat","res_country_city_93","Huyện Thống Nhất"
"res_country_district_134","VN-39-cam-my","cam-my","res_country_city_93","Huyện Cẩm Mỹ"
"res_country_district_135","VN-39-long-thanh","long-thanh","res_country_city_93","Huyện Long Thành"
"res_country_district_136","VN-39-xuan-loc","xuan-loc","res_country_city_93","Huyện Xuân Lộc"
"res_country_district_137","VN-39-nhon-trach","nhon-trach","res_country_city_93","Huyện Nhơn Trạch"
"res_country_district_138","VN-46-tan-phuoc","tan-phuoc","res_country_city_94","Huyện Tân Phước"
"res_country_district_139","VN-46-cai-be","cai-be","res_country_city_94","Huyện Cái Bè"
"res_country_district_140","VN-46-cai-lay","cai-lay","res_country_city_94","Huyện Cai Lậy"
"res_country_district_141","VN-46-chau-thanh","chau-thanh","res_country_city_94","Huyện Châu Thành"
"res_country_district_142","VN-46-cho-gao","cho-gao","res_country_city_94","Huyện Chợ Gạo"
"res_country_district_143","VN-46-go-cong-tay","go-cong-tay","res_country_city_94","Huyện Gò Công Tây"
"res_country_district_144","VN-46-go-cong-dong","go-cong-dong","res_country_city_94","Huyện Gò Công Đông"
"res_country_district_145","VN-46-tan-phu-dong","tan-phu-dong","res_country_city_94","Huyện Tân Phú Đông"
"res_country_district_146","VN-32-dong-xuan","dong-xuan","res_country_city_95","Huyện Đồng Xuân"
"res_country_district_147","VN-32-tuy-an","tuy-an","res_country_city_95","Huyện Tuy An"
"res_country_district_148","VN-32-son-hoa","son-hoa","res_country_city_95","Huyện Sơn Hòa"
"res_country_district_149","VN-32-song-hinh","song-hinh","res_country_city_95","Huyện Sông Hinh"
"res_country_district_150","VN-32-tay-hoa","tay-hoa","res_country_city_95","Huyện Tây Hoà"
"res_country_district_151","VN-32-phu-hoa","phu-hoa","res_country_city_95","Huyện Phú Hoà"
"res_country_district_152","VN-06-luc-yen","luc-yen","res_country_city_96","Huyện Lục Yên"
"res_country_district_153","VN-06-van-yen","van-yen","res_country_city_96","Huyện Văn Yên"
"res_country_district_154","VN-06-mu-cang-chai","mu-cang-chai","res_country_city_96","Huyện Mù Căng Chải"
"res_country_district_155","VN-06-tran-yen","tran-yen","res_country_city_96","Huyện Trấn Yên"
"res_country_district_156","VN-06-tram-tau","tram-tau","res_country_city_96","Huyện Trạm Tấu"
"res_country_district_157","VN-06-van-chan","van-chan","res_country_city_96","Huyện Văn Chấn"
"res_country_district_158","VN-06-yen-binh","yen-binh","res_country_city_96","Huyện Yên Bình"
"res_country_district_159","VN-57-bau-bang","bau-bang","res_country_city_97","Huyện Bàu Bàng"
"res_country_district_160","VN-57-dau-tieng","dau-tieng","res_country_city_97","Huyện Dầu Tiếng"
"res_country_district_161","VN-57-phu-giao","phu-giao","res_country_city_97","Huyện Phú Giáo"
"res_country_district_162","VN-57-bac-tan-uyen","bac-tan-uyen","res_country_city_97","Huyện Bắc Tân Uyên"
"res_country_district_163","VN-27-tay-giang","tay-giang","res_country_city_98","Huyện Tây Giang"
"res_country_district_164","VN-27-dong-giang","dong-giang","res_country_city_98","Huyện Đông Giang"
"res_country_district_165","VN-27-dai-loc","dai-loc","res_country_city_98","Huyện Đại Lộc"
"res_country_district_166","VN-27-duy-xuyen","duy-xuyen","res_country_city_98","Huyện Duy Xuyên"
"res_country_district_167","VN-27-que-son","que-son","res_country_city_98","Huyện Quế Sơn"
"res_country_district_168","VN-27-nam-giang","nam-giang","res_country_city_98","Huyện Nam Giang"
"res_country_district_169","VN-27-phuoc-son","phuoc-son","res_country_city_98","Huyện Phước Sơn"
"res_country_district_170","VN-27-hiep-duc","hiep-duc","res_country_city_98","Huyện Hiệp Đức"
"res_country_district_171","VN-27-thang-binh","thang-binh","res_country_city_98","Huyện Thăng Bình"
"res_country_district_172","VN-27-tien-phuoc","tien-phuoc","res_country_city_98","Huyện Tiên Phước"
"res_country_district_173","VN-27-bac-tra-my","bac-tra-my","res_country_city_98","Huyện Bắc Trà My"
"res_country_district_174","VN-27-nam-tra-my","nam-tra-my","res_country_city_98","Huyện Nam Trà My"
"res_country_district_175","VN-27-nui-thanh","nui-thanh","res_country_city_98","Huyện Núi Thành"
"res_country_district_176","VN-27-phu-ninh","phu-ninh","res_country_city_98","Huyện Phú Ninh"
"res_country_district_177","VN-27-nong-son","nong-son","res_country_city_98","Huyện Nông Sơn"
"res_country_district_178","VN-71-muong-nhe","muong-nhe","res_country_city_99","Huyện Mường Nhé"
"res_country_district_179","VN-71-muong-cha","muong-cha","res_country_city_99","Huyện Mường Chà"
"res_country_district_180","VN-71-tua-chua","tua-chua","res_country_city_99","Huyện Tủa Chùa"
"res_country_district_181","VN-71-tuan-giao","tuan-giao","res_country_city_99","Huyện Tuần Giáo"
"res_country_district_182","VN-71-dien-bien","dien-bien","res_country_city_99","Huyện Điện Biên"
"res_country_district_183","VN-71-dien-bien-dong","dien-bien-dong","res_country_city_99","Huyện Điện Biên Đông"
"res_country_district_184","VN-71-muong-ang","muong-ang","res_country_city_99","Huyện Mường Ảng"
"res_country_district_185","VN-71-nam-po","nam-po","res_country_city_99","Huyện Nậm Pồ"
"res_country_district_186","VN-28-dak-glei","dak-glei","res_country_city_100","Huyện Đắk Glei"
