"id","name","code","slug","district_id:id"
"res_country_ward_1","Xã Tiên Kiên","VN-68-lam-thao-tien-kien","tien-kien","res_country_district_425"
"res_country_ward_2","Xã Xuân Lũng","VN-68-lam-thao-xuan-lung","xuan-lung","res_country_district_425"
"res_country_ward_3","Xã Xuân Huy","VN-68-lam-thao-xuan-huy","xuan-huy","res_country_district_425"
"res_country_ward_4","Xã Thạch Sơn","VN-68-lam-thao-thach-son","thach-son","res_country_district_425"
"res_country_ward_5","Xã Sơn Vi","VN-68-lam-thao-son-vi","son-vi","res_country_district_425"
"res_country_ward_6","Xã Phùng Nguyên","VN-68-lam-thao-phung-nguyen","phung-nguyen","res_country_district_425"
"res_country_ward_7","Xã Cao Xá","VN-68-lam-thao-cao-xa","cao-xa","res_country_district_425"
"res_country_ward_8","Xã Vĩnh Lại","VN-68-lam-thao-vinh-lai","vinh-lai","res_country_district_425"
"res_country_ward_9","Xã Tứ Xã","VN-68-lam-thao-tu-xa","tu-xa","res_country_district_425"
"res_country_ward_10","Xã Bản Nguyên","VN-68-lam-thao-ban-nguyen","ban-nguyen","res_country_district_425"
"res_country_ward_11","Xã Canh Liên","VN-31-van-canh-canh-lien","canh-lien","res_country_district_410"
"res_country_ward_12","Xã Canh Hiệp","VN-31-van-canh-canh-hiep","canh-hiep","res_country_district_410"
"res_country_ward_13","Xã Canh Vinh","VN-31-van-canh-canh-vinh","canh-vinh","res_country_district_410"
"res_country_ward_14","Xã Canh Hiển","VN-31-van-canh-canh-hien","canh-hien","res_country_district_410"
"res_country_ward_15","Xã Canh Thuận","VN-31-van-canh-canh-thuan","canh-thuan","res_country_district_410"
"res_country_ward_16","Xã Canh Hòa","VN-31-van-canh-canh-hoa","canh-hoa","res_country_district_410"
"res_country_ward_17","Xã Dân Hóa","VN-24-minh-hoa-dan-hoa","dan-hoa","res_country_district_45"
"res_country_ward_18","Xã Trọng Hóa","VN-24-minh-hoa-trong-hoa","trong-hoa","res_country_district_45"
"res_country_ward_19","Xã Hóa Phúc","VN-24-minh-hoa-hoa-phuc","hoa-phuc","res_country_district_45"
"res_country_ward_20","Xã Hồng Hóa","VN-24-minh-hoa-hong-hoa","hong-hoa","res_country_district_45"
"res_country_ward_21","Xã Hóa Thanh","VN-24-minh-hoa-hoa-thanh","hoa-thanh","res_country_district_45"
"res_country_ward_22","Xã Hóa Tiến","VN-24-minh-hoa-hoa-tien","hoa-tien","res_country_district_45"
"res_country_ward_23","Xã Hóa Hợp","VN-24-minh-hoa-hoa-hop","hoa-hop","res_country_district_45"
"res_country_ward_24","Xã Xuân Hóa","VN-24-minh-hoa-xuan-hoa","xuan-hoa","res_country_district_45"
"res_country_ward_25","Xã Yên Hóa","VN-24-minh-hoa-yen-hoa","yen-hoa","res_country_district_45"
"res_country_ward_26","Xã Minh Hóa","VN-24-minh-hoa-minh-hoa","minh-hoa","res_country_district_45"
"res_country_ward_27","Xã Tân Hóa","VN-24-minh-hoa-tan-hoa","tan-hoa","res_country_district_45"
"res_country_ward_28","Xã Hóa Sơn","VN-24-minh-hoa-hoa-son","hoa-son","res_country_district_45"
"res_country_ward_29","Xã Trung Hóa","VN-24-minh-hoa-trung-hoa","trung-hoa","res_country_district_45"
"res_country_ward_30","Xã Thượng Hóa","VN-24-minh-hoa-thuong-hoa","thuong-hoa","res_country_district_45"
"res_country_ward_31","Xã Khánh Thượng","VN-18-yen-mo-khanh-thuong","khanh-thuong","res_country_district_13"
"res_country_ward_32","Xã Khánh Dương","VN-18-yen-mo-khanh-duong","khanh-duong","res_country_district_13"
"res_country_ward_33","Xã Mai Sơn","VN-18-yen-mo-mai-son","mai-son","res_country_district_13"
"res_country_ward_34","Xã Khánh Thịnh","VN-18-yen-mo-khanh-thinh","khanh-thinh","res_country_district_13"
"res_country_ward_35","Xã Yên Phong","VN-18-yen-mo-yen-phong","yen-phong","res_country_district_13"
"res_country_ward_36","Xã Yên Hòa","VN-18-yen-mo-yen-hoa","yen-hoa","res_country_district_13"
"res_country_ward_37","Xã Yên Thắng","VN-18-yen-mo-yen-thang","yen-thang","res_country_district_13"
"res_country_ward_38","Xã Yên Từ","VN-18-yen-mo-yen-tu","yen-tu","res_country_district_13"
"res_country_ward_39","Xã Yên Hưng","VN-18-yen-mo-yen-hung","yen-hung","res_country_district_13"
"res_country_ward_40","Xã Yên Thành","VN-18-yen-mo-yen-thanh","yen-thanh","res_country_district_13"
"res_country_ward_41","Xã Yên Nhân","VN-18-yen-mo-yen-nhan","yen-nhan","res_country_district_13"
"res_country_ward_42","Xã Yên Mỹ","VN-18-yen-mo-yen-my","yen-my","res_country_district_13"
"res_country_ward_43","Xã Yên Mạc","VN-18-yen-mo-yen-mac","yen-mac","res_country_district_13"
"res_country_ward_44","Xã Yên Đồng","VN-18-yen-mo-yen-dong","yen-dong","res_country_district_13"
"res_country_ward_45","Xã Yên Thái","VN-18-yen-mo-yen-thai","yen-thai","res_country_district_13"
"res_country_ward_46","Xã Yên Lâm","VN-18-yen-mo-yen-lam","yen-lam","res_country_district_13"
"res_country_ward_47","Xã Tân Hòa Đông","VN-46-tan-phuoc-tan-hoa-dong","tan-hoa-dong","res_country_district_138"
"res_country_ward_48","Xã Thạnh Tân","VN-46-tan-phuoc-thanh-tan","thanh-tan","res_country_district_138"
"res_country_ward_49","Xã Thạnh Mỹ","VN-46-tan-phuoc-thanh-my","thanh-my","res_country_district_138"
"res_country_ward_50","Xã Thạnh Hoà","VN-46-tan-phuoc-thanh-hoa","thanh-hoa","res_country_district_138"
"res_country_ward_51","Xã Phú Mỹ","VN-46-tan-phuoc-phu-my","phu-my","res_country_district_138"
"res_country_ward_52","Xã Tân Hòa Thành","VN-46-tan-phuoc-tan-hoa-thanh","tan-hoa-thanh","res_country_district_138"
"res_country_ward_53","Xã Hưng Thạnh","VN-46-tan-phuoc-hung-thanh","hung-thanh","res_country_district_138"
"res_country_ward_54","Xã Tân Lập 1","VN-46-tan-phuoc-tan-lap-1","tan-lap-1","res_country_district_138"
"res_country_ward_55","Xã Tân Hòa Tây","VN-46-tan-phuoc-tan-hoa-tay","tan-hoa-tay","res_country_district_138"
"res_country_ward_56","Xã Tân Lập 2","VN-46-tan-phuoc-tan-lap-2","tan-lap-2","res_country_district_138"
"res_country_ward_57","Xã Phước Lập","VN-46-tan-phuoc-phuoc-lap","phuoc-lap","res_country_district_138"
"res_country_ward_58","Xã Giai Phạm","VN-66-yen-my-giai-pham","giai-pham","res_country_district_113"
"res_country_ward_59","Xã Nghĩa Hiệp","VN-66-yen-my-nghia-hiep","nghia-hiep","res_country_district_113"
"res_country_ward_60","Xã Đồng Than","VN-66-yen-my-dong-than","dong-than","res_country_district_113"
"res_country_ward_61","Xã Ngọc Long","VN-66-yen-my-ngoc-long","ngoc-long","res_country_district_113"
"res_country_ward_62","Xã Liêu Xá","VN-66-yen-my-lieu-xa","lieu-xa","res_country_district_113"
"res_country_ward_63","Xã Hoàn Long","VN-66-yen-my-hoan-long","hoan-long","res_country_district_113"
"res_country_ward_64","Xã Tân Lập","VN-66-yen-my-tan-lap","tan-lap","res_country_district_113"
"res_country_ward_65","Xã Thanh Long","VN-66-yen-my-thanh-long","thanh-long","res_country_district_113"
"res_country_ward_66","Xã Yên Phú","VN-66-yen-my-yen-phu","yen-phu","res_country_district_113"
